2022-02-19 11:23:43.842485
EAN,Name,MRP,Price
1215083,"Wingreens Farms Wingreens Sweet Chilli Garlic Sauce - 130g Tube + (Chatpata pudhina naan chips 30gm ), Combo 2 Items",Rs 119,Rs 69.50
1214718,"Slurrp Farm Millet Dosa Mix, Supergrains - Spinach + Beetroot (150 g each), Combo 2 Items",Rs 178,Rs 142.40
1214719,"Slurrp Farm Mighty Puff Choco Ragi + Puff Tangy Tomato + Puff Cheese & Herbs (2X20 g each), Combo 3 Items",Rs 120,Rs 90
1214721,"Slurrp Farm 100% Organic Superfood Nut Powder 100g + Natural Jaggery Powder 300g, Combo 2 Items",Rs 749,Rs 637.50
1214722,"Slurrp Farm Protein Breakfast Spinach Dosa+ Banana Pancake (150g each) + Puffs 3X20 g, Combo 5 Items",Rs 298,Rs 290.55
1214830,"Slurrp Farm Slurrp Farm Millet Pancake Mix - Banana, Choco-Chip + Chocolate (150 g Each), Combo 2 Items",Rs 298,Rs 201.15
1211028,"Vaseline Intensive Care Deep Moisture Body Lotion, 3x400 ml Multipack",Rs 1005,Rs 553.75
1208347,"Nivea Cocoa Nourish Oil-In-Lotion, 2x400 ml (Multipack)",Rs 898,Rs 407.56
1208528,"Parachute Advansed Deep Nourish Body Lotion, 2x400 ml (Multipack)",Rs 620,Rs 256.03
1208535,"Vaseline Intensive Care Aloe Fresh Body Lotion, 2x400 ml (Multipack)",Rs 770,Rs 426.47
1208536,"Vaseline Healthy Bright Daily Brightening Body Lotion, 2x400 ml (Multipack)",Rs 770,Rs 512.03
1208539,"Nivea Aloe Hydration Body Lotion - For Normal Skin, 2x400 ml (Multipack)",Rs 850,Rs 467.52
