2022-02-16 10:50:15.099153
JIO,Name,MRP,Price,Pincode
491439006,Parle Monaco Classic Regular Salted Biscuits 400 g,  60.00,  54.00,122018
491338173,Parle Platina Hide & Seek Chocolate Chip Cookies 350 g,None,None,122018
490009551,Haldiram's Nagpur Bhujia Sev 1 kg,None,None,122018
490000041,Aashirvaad Whole Wheat Atta 10 kg,  390.00,  349.00,122018
490000073,Tata Iodised Salt 1 kg,  24.00,  22.00,122018
590032549,Fortune Sunlite Refined Sunflower Oil 5 L + Fortune Everyday Basmati Rice 5 kg (Combo Pack),None,None,122018
490000058,Saffola Tasty Pro Fitness Concious Corn Based Blended Oil 1 L,  200.00,  185.00,122018
491614721,Tata Sampann White Poha 500 g,  44.00,  41.00,122018
490000057,Saffola Gold Pro Healthy Lifestyle RiceBran Based Blended Oil 1 L,  205.00,  189.00,122018
491320044,Real Fruit Power Mosambi Juice 1 L,None,None,122018
490967439,Red Label Natural Care Tea 500 g (Carton),  295.00,  280.25,122018
490503478,Nescafe Classic Instant Coffee 100 g (Jar),  310.00,  275.00,122018
490675817,Aashirvaad Multigrain Atta 5 kg,  315.00,  272.00,492003
491019524,Daawat Rozana Super Basmati Rice 5 kg,None,None,492003
491319789,Sunfeast Dark Fantasy Original Choco Filled Cookie 12.5 g (Pack of 24),  150.00,  99.00,492003
491409954,Kellogg's Nuts Delight Muesli 750 g,  425.00,  385.00,492003
491321729,Raw Pressery Orange Juice 1 l,None,None,492003
490010244,Gowardhan Pure Cow Ghee 1 L (Pouch),None,None,492003
491187481,Bournvita 750 g,  310.00,  270.00,492003
490915877,Lux Rose & Vitamin E Soft Glowing Skin Soap Bar 150 g (Pack of 3),  165.00,  132.00,492003
490002255,Santoor Sandal & Turmeric Soap 125 g (Pack of 4),  180.00,  145.00,492003
491161296,Britannia Good Day Cashew Cookies 100 g,None,None,492003
490007701,Britannia NutriChoice Hi-Fibre Digestive Biscuits 100 g,None,None,492003
490008739,Parle-G Original Glucose Biscuits 800 g,  80.00,  74.40,492003
491439006,Parle Monaco Classic Regular Salted Biscuits 400 g,  60.00,  54.00,492003
491338173,Parle Platina Hide & Seek Chocolate Chip Cookies 350 g,None,None,492003
490009551,Haldiram's Nagpur Bhujia Sev 1 kg,None,None,492003
490000041,Aashirvaad Whole Wheat Atta 10 kg,None,None,492003
490000073,Tata Iodised Salt 1 kg,  24.00,  22.00,492003
590032549,Fortune Sunlite Refined Sunflower Oil 5 L + Fortune Everyday Basmati Rice 5 kg (Combo Pack),None,None,492003
490000058,Saffola Tasty Pro Fitness Concious Corn Based Blended Oil 1 L,None,None,492003
491614721,Tata Sampann White Poha 500 g,  44.00,  41.00,492003
490000057,Saffola Gold Pro Healthy Lifestyle RiceBran Based Blended Oil 1 L,None,None,492003
491320044,Real Fruit Power Mosambi Juice 1 L,None,None,492003
490967439,Red Label Natural Care Tea 500 g (Carton),  295.00,  280.25,492003
490503478,Nescafe Classic Instant Coffee 100 g (Jar),  310.00,  275.00,492003
490675817,Aashirvaad Multigrain Atta 5 kg,  315.00,  254.00,410210
491019524,Daawat Rozana Super Basmati Rice 5 kg,  390.00,  325.00,410210
491319789,Sunfeast Dark Fantasy Original Choco Filled Cookie 12.5 g (Pack of 24),  150.00,  93.00,410210
491409954,Kellogg's Nuts Delight Muesli 750 g,  425.00,  345.00,410210
491321729,Raw Pressery Orange Juice 1 l,  330.00,  247.50,410210
490010244,Gowardhan Pure Cow Ghee 1 L (Pouch),  579.00,  499.00,410210
